case	tumor	compartment	mutation	total_mut	size
P7	DHL	A_Random	162	7013	80368995
P8	DHL	A_Random	187	7501	80368995
P9	DHL	A_Random	147	5032	80368995
P1	DHL	B_H3K27ac	393	1810	85018670
P2	DHL	B_H3K27ac	856	2357	85018670
P4	DHL	B_H3K27ac	45	1241	85018670
P5	DHL	B_H3K27ac	294	2216	85018670
P6	DHL	B_H3K27ac	586	9263	85018670
P7	DHL	B_H3K27ac	623	7013	85018670
P8	DHL	B_H3K27ac	369	7501	85018670
P9	DHL	B_H3K27ac	190	5032	85018670
P1	DHL	C_H3K4me3	351	1810	51323255
P2	DHL	C_H3K4me3	698	2357	51323255
P4	DHL	C_H3K4me3	36	1241	51323255
P5	DHL	C_H3K4me3	219	2216	51323255
P6	DHL	C_H3K4me3	405	9263	51323255
P7	DHL	C_H3K4me3	500	7013	51323255
P8	DHL	C_H3K4me3	249	7501	51323255
P9	DHL	C_H3K4me3	137	5032	51323255
P1	DHL	D_H3K4me1	233	1810	104797627
P2	DHL	D_H3K4me1	603	2357	104797627
P4	DHL	D_H3K4me1	38	1241	104797627
P5	DHL	D_H3K4me1	239	2216	104797627
P6	DHL	D_H3K4me1	436	9263	104797627
P7	DHL	D_H3K4me1	429	7013	104797627
P8	DHL	D_H3K4me1	369	7501	104797627
P9	DHL	D_H3K4me1	150	5032	104797627
P1	DHL	E_Random	17	1810	29617861
P2	DHL	E_Random	8	2357	29617861
P4	DHL	E_Random	11	1241	29617861
P5	DHL	E_Random	14	2216	29617861
P6	DHL	E_Random	97	9263	29617861
P7	DHL	E_Random	65	7013	29617861
P8	DHL	E_Random	81	7501	29617861
P9	DHL	E_Random	59	5032	29617861
P1	DHL	F_Only_27ac	67	1810	52134387
P2	DHL	F_Only_27ac	196	2357	52134387
P4	DHL	F_Only_27ac	19	1241	52134387
P5	DHL	F_Only_27ac	86	2216	52134387
P6	DHL	F_Only_27ac	211	9263	52134387
P7	DHL	F_Only_27ac	161	7013	52134387
P8	DHL	F_Only_27ac	154	7501	52134387
P9	DHL	F_Only_27ac	63	5032	52134387
P1	DHL	G_Only_4me3	25	1810	18438972
P2	DHL	G_Only_4me3	38	2357	18438972
P4	DHL	G_Only_4me3	10	1241	18438972
P5	DHL	G_Only_4me3	11	2216	18438972
P6	DHL	G_Only_4me3	30	9263	18438972
P7	DHL	G_Only_4me3	38	7013	18438972
P8	DHL	G_Only_4me3	34	7501	18438972
P9	DHL	G_Only_4me3	10	5032	18438972
P1	DHL	H_Intersection_4me3_and_27ac	235	1810	18336215
P2	DHL	H_Intersection_4me3_and_27ac	407	2357	18336215
P4	DHL	H_Intersection_4me3_and_27ac	17	1241	18336215
P5	DHL	H_Intersection_4me3_and_27ac	118	2216	18336215
P6	DHL	H_Intersection_4me3_and_27ac	278	9263	18336215
P7	DHL	H_Intersection_4me3_and_27ac	341	7013	18336215
P8	DHL	H_Intersection_4me3_and_27ac	121	7501	18336215
P9	DHL	H_Intersection_4me3_and_27ac	96	5032	18336215
